,x_loc,y_loc,time_of_death_real,time_of_death,time_of_nucleation,file_name
0,2526.5,694.5,0,0,0,20160909_b16f10_aMSH_xy38
1,1478.5,82.5,30,1,9999,20160909_b16f10_aMSH_xy38
2,1870.5,234.5,30,1,9999,20160909_b16f10_aMSH_xy38
3,1914.5,258.5,30,1,9999,20160909_b16f10_aMSH_xy38
4,2226.5,310.5,30,1,9999,20160909_b16f10_aMSH_xy38
5,2170.5,390.5,30,1,9999,20160909_b16f10_aMSH_xy38
6,2234.5,394.5,30,1,9999,20160909_b16f10_aMSH_xy38
7,2538.5,734.5,30,1,9999,20160909_b16f10_aMSH_xy38
8,2550.5,846.5,30,1,9999,20160909_b16f10_aMSH_xy38
9,2282.5,1978.5,30,1,9999,20160909_b16f10_aMSH_xy38
10,2218.5,2078.5,30,1,9999,20160909_b16f10_aMSH_xy38
11,2018.5,2062.5,30,1,9999,20160909_b16f10_aMSH_xy38
12,2150.5,2078.5,30,1,9999,20160909_b16f10_aMSH_xy38
13,2198.5,1830.5,30,1,9999,20160909_b16f10_aMSH_xy38
14,1838.5,1770.5,30,1,9999,20160909_b16f10_aMSH_xy38
15,2270.5,2138.5,60,2,9999,20160909_b16f10_aMSH_xy38
16,2222.5,2038.5,60,2,9999,20160909_b16f10_aMSH_xy38
17,2226.5,1974.5,60,2,9999,20160909_b16f10_aMSH_xy38
18,2142.5,1782.5,60,2,9999,20160909_b16f10_aMSH_xy38
19,2078.5,1782.5,60,2,9999,20160909_b16f10_aMSH_xy38
20,2450.5,1346.5,60,2,9999,20160909_b16f10_aMSH_xy38
21,2482.5,894.4999999999999,60,2,9999,20160909_b16f10_aMSH_xy38
22,1898.5,746.5,90,3,90,20160909_b16f10_aMSH_xy38
23,1970.5,854.5,90,3,90,20160909_b16f10_aMSH_xy38
24,1978.5,1610.5,90,3,9999,20160909_b16f10_aMSH_xy38
25,1806.5,1738.5,90,3,9999,20160909_b16f10_aMSH_xy38
26,1818.5,1782.5,90,3,9999,20160909_b16f10_aMSH_xy38
27,1774.5,1658.5,90,3,9999,20160909_b16f10_aMSH_xy38
28,1538.5,1698.5,90,3,90,20160909_b16f10_aMSH_xy38
29,1538.5,1830.5,90,3,9999,20160909_b16f10_aMSH_xy38
30,1734.5,2034.5,90,3,9999,20160909_b16f10_aMSH_xy38
31,1766.5,1998.5,90,3,9999,20160909_b16f10_aMSH_xy38
32,2258.5,2042.5,90,3,9999,20160909_b16f10_aMSH_xy38
33,2290.5,1506.5,90,3,9999,20160909_b16f10_aMSH_xy38
34,2462.5,1198.5,90,3,9999,20160909_b16f10_aMSH_xy38
35,2470.5,1154.5,90,3,9999,20160909_b16f10_aMSH_xy38
36,2414.5,1182.5000000000002,90,3,9999,20160909_b16f10_aMSH_xy38
37,2438.5,1146.5,90,3,9999,20160909_b16f10_aMSH_xy38
38,2202.5,78.49999999999999,90,3,9999,20160909_b16f10_aMSH_xy38
39,1310.5,1650.5,120,4,120,20160909_b16f10_aMSH_xy38
40,1394.5,1702.5,120,4,9999,20160909_b16f10_aMSH_xy38
41,1238.5,1786.5,120,4,9999,20160909_b16f10_aMSH_xy38
42,1062.5,1810.4999999999998,120,4,120,20160909_b16f10_aMSH_xy38
43,1126.5,1942.5,120,4,9999,20160909_b16f10_aMSH_xy38
44,1550.5,1754.5,120,4,9999,20160909_b16f10_aMSH_xy38
45,1502.5,1726.5,120,4,9999,20160909_b16f10_aMSH_xy38
46,1690.5,1278.5,120,4,120,20160909_b16f10_aMSH_xy38
47,1882.5,782.5,120,4,9999,20160909_b16f10_aMSH_xy38
48,1942.5,750.5,120,4,9999,20160909_b16f10_aMSH_xy38
49,1714.5,614.5,120,4,9999,20160909_b16f10_aMSH_xy38
50,2258.5,974.5,120,4,9999,20160909_b16f10_aMSH_xy38
51,2246.5,1190.5,120,4,9999,20160909_b16f10_aMSH_xy38
52,2198.5,1226.4999999999998,120,4,9999,20160909_b16f10_aMSH_xy38
53,2150.5,1258.5,120,4,9999,20160909_b16f10_aMSH_xy38
54,2462.5,986.5,120,4,9999,20160909_b16f10_aMSH_xy38
55,2114.5,1830.5,120,4,9999,20160909_b16f10_aMSH_xy38
56,790.5,1894.5,150,5,9999,20160909_b16f10_aMSH_xy38
57,834.5,1926.5,150,5,9999,20160909_b16f10_aMSH_xy38
58,838.5,1986.5,150,5,9999,20160909_b16f10_aMSH_xy38
59,866.5,2038.5,150,5,9999,20160909_b16f10_aMSH_xy38
60,922.5,2002.5,150,5,9999,20160909_b16f10_aMSH_xy38
61,822.5,2058.5,150,5,9999,20160909_b16f10_aMSH_xy38
62,766.5,2038.5,150,5,9999,20160909_b16f10_aMSH_xy38
63,1102.5,1870.5,150,5,9999,20160909_b16f10_aMSH_xy38
64,990.5,1806.5,150,5,9999,20160909_b16f10_aMSH_xy38
65,1270.5,1738.5,150,5,9999,20160909_b16f10_aMSH_xy38
66,1218.5,1722.5000000000002,150,5,9999,20160909_b16f10_aMSH_xy38
67,1206.5,1666.5,150,5,9999,20160909_b16f10_aMSH_xy38
68,1230.5,1806.5,150,5,9999,20160909_b16f10_aMSH_xy38
69,1362.5,1674.5,150,5,9999,20160909_b16f10_aMSH_xy38
70,1374.5,1590.5,150,5,9999,20160909_b16f10_aMSH_xy38
